raw_timestamp,log_time,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,HMD_position_x,HMD_position_y,HMD_position_z,HMD_rotation_x,HMD_rotation_y,HMD_rotation_z,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status
1000878624342640000,63759892489486,0.880485,581579,0.5665344,2,0.1192623,-0.2021396,0.972068,0,0,0,-1.318966,0.4649696,-0.2508302,0.07184097,0.1949522,-0.01581811,0.1530064,-0.2016068,0.9674419,-0.0331375,0,0,0.1896269,2,0.0788093,-0.2025452,0.9760966,0.0331375,0,0,0.1987719,2
1000878624352630000,63759892489486,0.874346,581580,0.5787092,2,0.1192736,-0.202523,0.9719868,0,0,0,-1.318966,0.4649696,-0.2508302,0.07184097,0.1949522,-0.01581811,0.1533069,-0.2017687,0.9673605,-0.0331375,0,0,0.1896223,2,0.07858303,-0.2031454,0.9759901,0.0331375,0,0,0.1987209,2
1000878624362620000,63759892489486,0.7795405,581581,0.498714,2,0.1135093,-0.2026605,0.9726481,0,0,0,-1.318966,0.4649696,-0.2508302,0.07184097,0.1949522,-0.01581811,0.1536601,-0.2021948,0.9672155,-0.0331375,0,0,0.1896265,2,0.06980097,-0.2028171,0.9767257,0.0331375,0,0,0.1987603,2
1000878624372620000,63759892489486,0.8036112,581582,0.5434757,2,0.1154112,-0.2028506,0.9723846,0,0,0,-1.318966,0.4649696,-0.2508302,0.07184097,0.1949522,-0.01581811,0.1539836,-0.2026945,0.9670594,-0.0331375,0,0,0.1896509,2,0.07268371,-0.202763,0.9765266,0.0331375,0,0,0.1987827,2
1000878624382750000,63759892489486,0.8140337,581583,0.5876046,2,0.1158681,-0.203149,0.972268,0,0,0,-1.318966,0.4649696,-0.2508302,0.07184097,0.1949522,-0.01581811,0.1534815,-0.2029066,0.9670948,-0.0331375,0,0,0.189625,2,0.07321244,-0.2031746,0.9764016,0.0331375,0,0,0.1987735,2
1000878624392760000,63759892489486,0.8209161,581584,0.5841553,2,0.1163773,-0.2035395,0.9721255,0,0,0,-1.318966,0.4649696,-0.2508302,0.07184097,0.1949522,-0.01581811,0.1532469,-0.2031272,0.9670857,-0.0331375,0,0,0.1895775,2,0.0736383,-0.203758,0.976248,0.0331375,0,0,0.1988009,2
1000878624402740000,63759892489486,0.8165955,581585,0.5879841,2,0.1165733,-0.2040588,0.9719931,0,0,0,-1.318966,0.4649696,-0.2508302,0.07184097,0.1949522,-0.01581811,0.1537582,-0.2033496,0.9669578,-0.0331375,0,0,0.1895396,2,0.07372046,-0.2045687,0.9760722,0.0331375,0,0,0.1987848,2
1000878624412750000,63759892489486,0.8246953,581586,0.8266571,2,0.1169981,-0.2044331,0.9718634,0,0,0,-1.318966,0.4649696,-0.2508302,0.07184097,0.1949522,-0.01581811,0.1535694,-0.2035726,0.9669409,-0.0331375,0,0,0.1895407,2,0.07431598,-0.2051105,0.9759133,0.0331375,0,0,0.1987666,2
1000878624422690000,63759892489562,0.767177,581587,0.8262266,2,0.1126971,-0.2039753,0.9724677,0,0,0,-1.318797,0.4648434,-0.2505577,0.07219449,0.1964991,-0.01607436,0.1539571,-0.2038422,0.9668224,-0.0331375,0,0,0.1895056,2,0.06876754,-0.2038373,0.9765866,0.0331375,0,0,0.1987682,2
1000878624432740000,63759892489562,0.7900139,581588,0.8482126,2,0.1132297,-0.2047759,0.9722375,0,0,0,-1.318797,0.4648434,-0.2505577,0.07219449,0.1964991,-0.01607436,0.1534918,-0.2041249,0.9668368,-0.0331375,0,0,0.1895062,2,0.07073927,-0.2051446,0.976172,0.0331375,0,0,0.1987291,2
1000878624442900000,63759892489562,0.8183802,581589,0.8457821,2,0.1153992,-0.2048108,0.9719751,0,0,0,-1.318797,0.4648434,-0.2505577,0.07219449,0.1964991,-0.01607436,0.1532414,-0.204267,0.9668465,-0.0331375,0,0,0.1895144,2,0.0733773,-0.205142,0.9759777,0.0331375,0,0,0.1989353,2
1000878624452870000,63759892489562,0.8509875,581590,0.8458992,2,0.1172318,-0.2051876,0.9716762,0,0,0,-1.318797,0.4648434,-0.2505577,0.07219449,0.1964991,-0.01607436,0.1529714,-0.204407,0.9668596,-0.0331375,0,0,0.1895145,2,0.07617529,-0.2057904,0.9756268,0.0331375,0,0,0.1989456,2
1000878624462800000,63759892489562,0.8548018,581591,0.8623201,2,0.1173824,-0.2053281,0.9716284,0,0,0,-1.318797,0.4648434,-0.2505577,0.07219449,0.1964991,-0.01607436,0.1528681,-0.2044731,0.966862,-0.0331375,0,0,0.1895129,2,0.07641383,-0.2060091,0.975562,0.0331375,0,0,0.1989523,2
1000878624472870000,63759892489562,0.8683332,581592,0.8600273,2,0.1183985,-0.2052595,0.9715196,0,0,0,-1.318797,0.4648434,-0.2505577,0.07219449,0.1964991,-0.01607436,0.1528038,-0.2045543,0.966855,-0.0331375,0,0,0.1895321,2,0.07755131,-0.2058247,0.9755111,0.0331375,0,0,0.199027,2
1000878624482850000,63759892489562,0.8044673,581593,0.8234139,2,0.1147498,-0.2050552,0.9720004,0,0,0,-1.318797,0.4648434,-0.2505577,0.07219449,0.1964991,-0.01607436,0.1530748,-0.2047433,0.9667721,-0.0331375,0,0,0.1895424,2,0.07183021,-0.2051707,0.9760868,0.0331375,0,0,0.1990237,2
1000878624492870000,63759892489562,0.8073794,581594,0.8123328,2,0.1154571,-0.2052526,0.971875,0,0,0,-1.318797,0.4648434,-0.2505577,0.07219449,0.1964991,-0.01607436,0.1538117,-0.2051403,0.966571,-0.0331375,0,0,0.1895437,2,0.07289406,-0.2051662,0.9760089,0.0331375,0,0,0.1991357,2
1000878624503030000,63759892489634,0.8108581,581595,0.8134834,2,0.1162014,-0.2056363,0.9717052,0,0,0,-1.318842,0.4650443,-0.2505548,0.07225216,0.1962432,-0.01626885,0.1542894,-0.205435,0.9664322,-0.0331375,0,0,0.1895856,2,0.07372276,-0.2056428,0.9758463,0.0331375,0,0,0.1992108,2
1000878624513000000,63759892489634,0.8474376,581596,0.7928491,2,0.1188071,-0.2060244,0.9713078,0,0,0,-1.318842,0.4650443,-0.2505548,0.07225216,0.1962432,-0.01626885,0.1545643,-0.2053035,0.9664162,-0.0331375,0,0,0.1896427,2,0.07747514,-0.2065733,0.975359,0.0331375,0,0,0.1992197,2
1000878624523030000,63759892489634,0.8540031,581597,0.8044589,2,0.1191158,-0.2063778,0.971195,0,0,0,-1.318842,0.4650443,-0.2505548,0.07225216,0.1962432,-0.01626885,0.1544353,-0.2055113,0.9663927,-0.0331375,0,0,0.1896638,2,0.0779373,-0.2070797,0.9752147,0.0331375,0,0,0.1992697,2
1000878624533030000,63759892489634,0.8607821,581598,0.8248082,2,0.1190274,-0.2063906,0.9712031,0,0,0,-1.318842,0.4650443,-0.2505548,0.07225216,0.1962432,-0.01626885,0.1540991,-0.2054187,0.9664661,-0.0331375,0,0,0.1897717,2,0.0782009,-0.2071988,0.9751683,0.0331375,0,0,0.1992459,2
