raw_timestamp,relative_to_video_first_frame_timestamp,focus_distance,frame_number,stability,status,gaze_forward_x,gaze_forward_y,gaze_forward_z,gaze_origin_x,gaze_origin_y,gaze_origin_z,gaze_projected_to_left_view_x,gaze_projected_to_left_view_y,gaze_projected_to_right_view_x,gaze_projected_to_right_view_y,left_forward_x,left_forward_y,left_forward_z,left_origin_x,left_origin_y,left_origin_z,left_pupil_size,left_status,left_projected_x,left_projected_y,right_forward_x,right_forward_y,right_forward_z,right_origin_x,right_origin_y,right_origin_z,right_pupil_size,right_status,right_projected_x,right_projected_y
1000878624422690000,44385000,0.767177,581587,0.826227,2,0.112697,-0.203975,0.972468,0,0,0,0.330733,-0.205974,-0.039998,-0.205758,0.153957,-0.203842,0.966822,-0.033138,0,0,0.189506,2,0.341243,-0.207006,0.068768,-0.203837,0.976587,0.033138,0,0,0.198768,2,-0.052837,-0.204777
1000878624432730000,54430600,0.790014,581588,0.848213,2,0.11323,-0.204776,0.972238,0,0,0,0.331395,-0.20683,-0.039359,-0.206613,0.153492,-0.204125,0.966837,-0.033138,0,0,0.189506,2,0.340694,-0.20729,0.070739,-0.205145,0.976172,0.033138,0,0,0.198729,2,-0.050527,-0.206176
1000878624442890000,64591000,0.81838,581589,0.845782,2,0.115399,-0.204811,0.971975,0,0,0,0.333976,-0.20692,-0.036818,-0.206702,0.153241,-0.204267,0.966846,-0.033138,0,0,0.189514,2,0.340398,-0.207432,0.073377,-0.205142,0.975978,0.033138,0,0,0.198935,2,-0.047463,-0.206213
1000878624452870000,74565900,0.850987,581590,0.845899,2,0.117232,-0.205188,0.971676,0,0,0,0.336171,-0.207362,-0.034664,-0.207144,0.152971,-0.204407,0.96686,-0.033138,0,0,0.189515,2,0.340078,-0.207572,0.076175,-0.20579,0.975627,0.033138,0,0,0.198946,2,-0.0442,-0.206937
1000878624462790000,84491300,0.854802,581591,0.86232,2,0.117382,-0.205328,0.971628,0,0,0,0.336355,-0.207514,-0.034484,-0.207296,0.152868,-0.204473,0.966862,-0.033138,0,0,0.189513,2,0.339956,-0.207638,0.076414,-0.206009,0.975562,0.033138,0,0,0.198952,2,-0.043918,-0.20717
1000878624472860000,94558000,0.868333,581592,0.860027,2,0.118398,-0.20526,0.97152,0,0,0,0.337563,-0.207468,-0.033294,-0.207249,0.152804,-0.204554,0.966855,-0.033138,0,0,0.189532,2,0.339882,-0.207722,0.077551,-0.205825,0.975511,0.033138,0,0,0.199027,2,-0.042599,-0.206995
1000878624482840000,104538600,0.804467,581593,0.823414,2,0.11475,-0.205055,0.972,0,0,0,0.333213,-0.207162,-0.037574,-0.206944,0.153075,-0.204743,0.966772,-0.033138,0,0,0.189542,2,0.340215,-0.207932,0.07183,-0.205171,0.976087,0.033138,0,0,0.199024,2,-0.04926,-0.206219
1000878624492870000,114564900,0.807379,581594,0.812333,2,0.115457,-0.205253,0.971875,0,0,0,0.334061,-0.207387,-0.036742,-0.207169,0.153812,-0.20514,0.966571,-0.033138,0,0,0.189544,2,0.341118,-0.208377,0.072894,-0.205166,0.976009,0.033138,0,0,0.199136,2,-0.048024,-0.206231
1000878624503020000,124721500,0.810858,581595,0.813483,2,0.116201,-0.205636,0.971705,0,0,0,0.334961,-0.20781,-0.035862,-0.207591,0.154289,-0.205435,0.966432,-0.033138,0,0,0.189586,2,0.341704,-0.208705,0.073723,-0.205643,0.975846,0.033138,0,0,0.199211,2,-0.047053,-0.206743
1000878624512990000,134689600,0.847438,581596,0.792849,2,0.118807,-0.206024,0.971308,0,0,0,0.338078,-0.208285,-0.032799,-0.208066,0.154564,-0.205304,0.966416,-0.033138,0,0,0.189643,2,0.34203,-0.208575,0.077475,-0.206573,0.975359,0.033138,0,0,0.19922,2,-0.042674,-0.20778
